Class,Sentences
neg,"প্রশাসন যদি পিছনের দিক দিয়ে খাওয়া বন্ধ করতো, তাহলে এই রকম মরন থেকে রেহায় পাওয়া যেত..."
neg,মারামারি হাতাহাতি আর যখনতখন ককটেল বিস্ফারণের কাজে এরা বরাবরি বাহাদুর।
neg,গতকালও ছাত্রলীগ নিজেদের ভিতর চেয়ার ছোড়াছুঁড়ি করেছিল। এই শৃঙ্খলাহীনতাকে নিন্দা জানাই।
pos,হা হা হা হা ...............
neg,মহা সমারোহে চেয়ারভাঙ্গা বার্ষিকী পালন করছে ছাত্রলীগ। তাই থামানোর প্রয়োজন বোধ করছে না কেউ..
pos,ওরা তো দুষ্টুমি করছিল। মায়ের আদরের দুষ্টু ছেলেরা কি একটু দুষ্টুমিও করবে না? এটা নিয়ে প্রতিবেদন করার কি আছে? আপনারাও দুষ্টু আছেন।
pos,জামায়াত শিবির তাহলে আওয়ামী লীগের কাউন্সিল ও ভেঙ্গে দিতে পারে? এত শক্তিধর! ব্যাপক বিনোদন পেলুম।
ntr,সম্মেলনে চেয়ার ছোড়াছুড়ি সময় গৃহায়ণ ও গণপূর্তমন্ত্রী ইঞ্জিনিয়ার মোশাররফ হোসেন হাতজোড় করে সবাইকে শান্ত হওয়ার জন্য অনুরোধ করেন। আরো কত রকমের অপরাধ করলে ছাত্রলীগ নিষিদ্ধ হবে? প্রশ্নটা আমার ওবায়দুল কাদেরের কাছে।
neg,"এই ""ছাত্রলীগ /গুন্ডা লীগ"" এবং ""পুলিশ"" ই হলো আওয়ামীলীগের ক্ষমতার মুল শক্তি। আওয়ামীলীগ মুখে ভালো ভালো কথা বললেও তলে তলে এদের রক্ষা করবে। .........ইহাই সত্য !!!"
ntr,শেষ সময়ে কেবল শুরু
pos,সোনার ছেলে
neg,জেলে বসে খালেদা জিয়া এটা করিয়েছেন!
neg,দেশপ্রেম দেখাতে দেখাতে bored হয়ে গেছে তাই থাইল্যান্ডে গিয়ে একটু fun করা দরকার
neg,"সবকিছুর জন্য খালি ""বিদেশ"" যেতে হবে কেন? তাহলে দেশে এত এত ডাক্তার কিসের জন্য বানানো হচ্ছে?"
neg,বিদেশের ডাক্তাররা চিকিৎসার পাশাপাশি গবেষণাও করে. ফলে নতুন নতুন প্রযুক্তির সাথে পরিচিত হয় এবং তা প্রয়াগ করে. বাংলাদেশের ডক্টরদের সেই সময় কোথায়?
neg,মাশারফির সার্জন ডেভিড ইয়াং তো এসেছিলেন বাংলাদেশে । উনাকে দেখালেই পারতো
neg,"দয়া করে আপনারা কোচদের খোচানো বন্ধ করেন, উনি তো ঠিকই বলেছেন, কর্মকর্তাদের বোঝানো কোচের কাজ না, কর্তারা যে খেলা বুঝেন না, ফুটবলের কর্মকর্তা হন কিভাবে? সবাই কোর্টন হবে এমন আশা করাটা উচিত না, দেশটা যেহেতু আমাদের আমরাই কোর্টন হইনা কেন?"
neg,আরে ভাই কৌটা কি নেইবাল নাকি বললেই চলে যাবে???😡😡
ntr,অন্যজন ২২২ পুরোপুরি দিতেও রাজি ছিলো
ntr,২২২m দিয়ে এখন কত কামাচ্ছে ভাই
neg,যখন প্লেয়ারে দিবে বলছে তখন ক্লাবের উচিত ছিল বলা যে থাক আমরাই পুরোটা দিবো
pos,এটাকে বলে রেসপেক্ট। ওই পারা লোকে দের বুঝায়ে দেন রেসপেক্ট কি জিনিস।
neg,আচ্ছা আমি ভাই সত্যি বলতে এখনো বুঝলামনা কৌতির ১৫m দেয়ার প্রোয়োজন পরলো কেন?
ntr,যেনুইন দাম কতো ছিলো.? ১৪০ নাকি ১৫৫?
ntr,১৪২ মিলিয়ন পাউন্ড (১৬০মিলিয়ন ইউরো& ১৯২ মিলিয়ন ডলার)
ntr,রিলিজ ক্লজ ৪০০ মিলিয়ন ইউরো ✌
pos,"কতিপয় পাগল কৌটি কে পিজ্জি টিমে কেনার কথা ভাবছে। সবাই টাকার পাগল নারে পাগলা, ভালোবাসা বলে তো কিছু আছে।"
pos,এটাকেই বলে ভালবাসা....শেষ পর্যন্ত গুটি বাজী না করলে হবে....🙈
ntr,ভালবাসা
ntr,মনে রাখবেন এর ভিতরেও কিন্তু ব্রাজিলের রক্ত বইছে
pos,ভাল্লাগছে কৌটার আগ্রহ / ভালোবাসা দেখে।
ntr,সেটাইতো কথা ভাই
neg,ভুয়া খবর
ntr,দেখা জাক
pos,আমিন
pos,ভেরি গুড
ntr,যেই লাউ সেই কদু।
pos,আলহামদুলিল্লাহ
pos,মূল্যবান সংবাদ
pos,দারুণ অফার
pos,বড় আশার খবর
pos,যেই ক্ষমতায় আসুক ভারত লাভবান হবেই
neg,দালালী টাইটেল।। দালালী মিডিয়া।।
pos,তাই যেন হয়।
neg,জালিমের উত্তস্বরি জালিমিই হবে
pos,ইজরায়েল জিন্দাবাদ
neg,"টাকলুরা ভালো হয় না, ইতিহাস তো তাই বলে"
pos,ভালো সিদ্ধান্ত
pos,জয় শ্রীরাম
pos,আলহামদুলিল্লাহ্‌
pos,যেটা আসবে ভালোই হবে
pos,সবকিছুর জন্য শুকরিয়া
pos,আলহামদুলিল্লাহ
neg,ইসলামের প্রধান শত্রু ইসরাইল
pos,গুড
pos,সমস্যা নেই
pos,ভারতের মতো যেই প্রধানমন্ত্রী হোক বাংলাদেশের জন্য কল্যাণকর
ntr,যা লাউ তা কদু
pos,ভালো
ntr,"যেই আসুক, ইহুদি তো ইহুদি ই!"
neg,আমাদের খুশি হবার কিছু নেই।
pos,হয়তবা ভালো
pos,খুশী হলাম।
pos,আলহামদুলিল্লাহ্
pos,"শেখ মুজিব এবং জিয়াউর রহমান দুজনেই আমাদের দেশের সম্মানি ব্যাক্তি,"
ntr,কিন্তুু আমাদের নোংরা রাজনীতির কারণে সম্মানিত ব্যক্তিরা অসম্মান হচ্ছে।
neg,এই জন্যই শামীম ওসমান বলেছিলেন সাংবাদিক সব খা ন কির পোলা।...
pos,পজেটিভ নিউজ
pos,বাংলাদেশের সব সরকারই ভারতের সাথে সুসম্পর্ক রেখে চলেছে 
pos,বিদ্যমান শিরোনাম এর চেয়ে আরও ভালো শিরোনাম 
ntr,আর আমিলিগ যে দেশটাই ভারতকে দিয়া দিছে ওই কথা কেডা কইবো
ntr,বিএনপি কেনো জিয়া হত্যার বিচার চায় না??এই বিষয়ে বিবিসির কাছে এক্টা প্রতিবেদন চাই
pos,এইতো আসল কথা। 
ntr,বাংলাদেশে সাংবাদিক হওয়া সবচেয়ে সহজ একটি ব্যাপার আর এদেশের ইতিহাস বইয়ে সংশোধন করে লিখা হয় কিন্তু রাজনৈতিক দলগুলোর নেতারা সংশোধন হতে পারেন না।
ntr,পাশেতো দেখছি কোচি বেগুন জিয়া ও আছে
neg,এই সব ফাউল কথা বিবিসি বাংলা পায় কোথায়!
pos,সামরিকভাবে শক্তিশালী দেশ হিসেবে গড়ে উঠবো একদিন আমরা
ntr,সেই মুচকুন্দ দুবে তো আরো ত্রিশ বছর আগে মারা গেছেন !!! 
pos,অসাধারণ রাষ্ট্র নায়ক ছিলেন
pos,লেখা পুরোটা পড়ে জিয়াউর রহমানের প্রতি সম্মান বেড়ে গেলো
ntr,মাঝে মাঝে মনে হয় বিবিসি এখন সময় টিভি নিয়ন্ত্রণ করে!
pos,আপনারা সত্যনিষ্ঠ খবর প্রচার করেন বলে ধন্যবাদ
pos,খবর হলে এমন ই হওয়া উচিৎ
ntr,"""স্বল্পবাক, সামরিক শৃঙ্খলায় মোড়া মানুষটি ভারতের প্রধানমন্ত্রীদের সঙ্গে সব সময় উচিত ব্যবহার করেছেন - এবং তার সময়ে কাজ হত।"""
pos, নিজের ও নিজ দেশের আত্মমর্যাদা বৃদ্ধি করেছেন
pos,এতকিছু আবিষ্কার করেছে!
pos,জিয়া-মুজিব দুজনেই আমাদের গর্ব
neg,"বি বি সি একটা আন্তর্যাতিক চ্যানেল,ভেবেছিলাম, এখন দেখছি এটা বাংলাদেশের একটি রাজনৈতিক দলের প্রোপাগাণ্ডা চ্যানেল। "
neg,জিয়া কে বিষোদগার মিথ্যাচার রিপোর্ট করা থেকে বিরত থাকুন সাংবাদিক নামক সাংঘাতিক। নাহলে বাংলাদেশের জনগণ বাধ্য হবে আস্তাকুঁড়ে ফেলে দিতে।
pos,ব্যাক্তি জিয়াউর রহমান খুবই সৎ একজন রাষ্ট্রনায়ক ছিলেন।
pos,অনেস্ট ও মেধাবী ও দূরদর্শী প্রেসিডেন্ট ছিলেন!
pos,উনার শাসনামল ও উনাকে নিয়ে পর্যালোচনা করলে বুঝতে পারবেন উনি কতটা সেরা ছিল!
neg,অযথা তর্কের খাতিরে অবান্তর রিপোর্ট লেখা বোকামো!!
pos,শহিদ জিয়াউর রহমানের দেখানো পথেই হাটলে সত্যিকারের উন্নতি আসবে
neg,"শেখ মুজিব যে ভয়টা করতেন, তার কন্যা সেই কাজটাই করতেছেন- দেশটাকে গোলামে পরিণত করতেছেন।"
neg,পৃথিবীর কোন দেশ সামরিক শাসক দ্বারা কোনদিন ভালো কিছু পায়নি এটা প্রমানিত সত্য 
ntr,সেই ক্ষোভে আপনারা গোটা দেশ বিক্রির সিদ্ধান্ত নিয়েছেন! নো সমিস্যা। 
pos,আমরা লাভবান হব
pos,প্রতিবেদনের ভেতরে একজন সত্যিকার দেশনায়কের কথাই উঠে এলো
pos,"ইতিহাসের সময়ের দাবীতে আর্বিভূত হয় এক মহানায়কের, তিনি মেজর জিয়াউর রহমান।"
pos,"যিনি নিজে স্বপ্ন দেখেছেন, দেশের জন্য স্বপ্ন দেখেছেন!"
neg,নিউজের হেড লাইন ঠিক করুন না হয় আমরা মনে করতে বাধ্য হব জে আপনারা কারো এজেন্ট হয়ে সহিদ প্রসিডেন্ট জিয়াউর রহমানের সম্মান হানি করার জন্য এ ধরনের হেড লাইন করেছেন।
ntr,গ্যাস জ্বালিয়ে কাপড় শুকনোর চেয়ে বেচাই ভালো....
ntr,"পাটের বীজের কথা মনে পড়ে গেল । বাঙ্গালী কি জিনিস সেটা ভারত ভালোই জানে ,"
neg,হাসিনাতো দেশের মানুষ কে না জানিয়ে চোরাই পথে অলরেডি দিয়ে দিছে আর সেই কারনে সাগর রুনিকে প্রান ও দিতে হইছে
neg,শিরোনামটা দালালীর অংশ
pos,শহীদ জিয়ার মত সৎ শাসক বাংলাদেশে একজনও ছিলোনা
pos,দেশপ্রেমিক বঙ্গবন্ধু-শেখ হাসিনা 
neg, মিথ্যার বাক্সটা কোথায় ৷
pos,জিয়াউর রহমানের আমলে ব্যংক রিজার্ভ বেড়েছে
pos,আমরা পেট্রোলিয়াম রফতানিতে ভালো একটা অবস্থানে যেতে পেরেছি
ntr,"উনি নাকি টয়লেটে পানি কম ব্যবহার করতেন, এটার উপর একটা রিপোর্ট করা যায়না??"
pos,তাও ভালো বেচতে চাইছে।। 
pos,এই জিয়ার নামে ঘৃণাবীজ বুনবে জিয়ার জনপ্রিয়তা দিন দিন ততই বাড়বে।
pos,ভাগ্য ভালো
ntr,"দেশের অর্থনীতির চাকা সচল রাখতে রপ্তানি করতে চেয়েছিল , তাতে সমস্যা কি? ফ্রীতে তো দেয়নি"
neg,দালালী করে কি বুঝাতে চান সাংঘাতিক সাহেব?
ntr,জিয়া নিয়ে বিএনপির এতো লাফালাফি করে কিন্তু জিয়া হত্যা বিচার কেউ চায় না এমন কি খালেদা ও তারেক তাদের নেতা কর্মীরা।
ntr,লাল মত বলতে হয় চশমা হাতে জিয়া কিভাবে শহীদ হয়।
pos,জিয়ার ক্ষমতার সময় জনগণ সুখে ছিল
neg,সারাদিন মোটামুটি ঠিকই ছিলেন।রাত ১০.৩০ ডোজ খাইলেন নাকি.
neg,বিবিসির অস্পষ্ট প্রতিবেদন- নিশ্চয়ই ইনটেনশনাল
ntr,"বাংলাদেশের রাষ্ট্রপতি হিসেবে জিয়াউর রহমান যখন ৭৭-র ডিসেম্বরে প্রথমবার দিল্লিতে পা রাখেন, তখন ভারতে প্রধানমন্ত্রী মোরারজি দেশাইয়ের সরকার ক্ষমতায়।"
pos,তাকে স্বাগত জানাই
neg,"বক্সোদবাহিনী, বেচলে সমস্যা কোথায়? সৌদি তেল বেচে না?"
neg,নতুন নতুন বানোয়াট তথ্য আবিষ্কার করে আওয়ামীলীগকে বাঁচার অক্সিজেন সরবরাহ করে এই একপেষে বিবিসি
pos,দেশের ইতিহাসে মেজর জিয়াউর রহমান সেরা
pos,একজন সৎ এবং সত্যিকারের দেশপ্রিয় সফল রাষ্ট্রনায়ক ছিলেন.
pos,একটি দৃষ্টান্তমূলক ঘটনা
neg,"ওরে হেটা রাম,,, সবকিছু বিলিয়ে দিয়ে এখন এগুলো ঢাকতে জিয়ার পুটকির গন্ধ খুজছো।"
neg,শামিম ওসমান বলেছিলেন মিডিয়ায় খা***র পোলারা ছাড়া আর কেউ চাকরি করতে যায় না
ntr,"আসলেই সত্যি,,, কাল বিএনপি হ্মমতায় আসলে এরা শেখ হাসিনার বিরুদ্ধে পোস্ট করবে"
pos,"জিয়া রাজনীতি করতেন দেশের জন্যে, কি চমৎকার রাজনৈতিক চাল, মানে পুরোটাই বাংলাদেশের লাভ।"
ntr,আমাদের দেশে সবচেয়ে সহজ উপায়ে হওয়া যায় সাংবাদিক। এই জন্যই মানুষ এখন সংবাদ পড়ে গুরুত্ব দেয় না
pos,স্বাধীনতার ঘোষক বীর উত্তম
pos,অসাধারণ একজন দেশপ্রেমিককে জানলাম।
neg,বোকাসোদা গুলো ভেতরে কি লেখা অাছে পড়েও দেখবে না!
neg,তোমার মা তো নিজের দেহ টা ও বেচে দিয়েছে
ntr,"খালেদা জিয়া, তারেক রহমান, এমনকি বিএনপি'র শীর্ষস্থানীয় নেতৃবৃন্দ থেকে শুরু করে উনাদের তৃণমূলের কর্মি পর্যন্ত; কেউ কি কখনও জিয়া হত্যার বিচার চেয়েছে? উনারা জিয়া হত্যার বিচার কেন চান না? বলতে পারেন?"
pos,"একজন সৎ ও নির্ভিক দেশপ্রেমিক ছিলেন শহীদ রাষ্ট্রপতি জিয়াউর রহমান,,,স্যালুট এই বীর সৈনিককে।বাঙালী জাতি সারাজিবন ওনাকে সন্মানের সহিত স্মরন করবেন।"
pos,সুন্দর একটা গেম দিয়েছো বেটা...
pos,প্রধানমন্ত্রী তোর জন্য একটা গোল্ড অ্যাওয়ার্ড বাজেট করবে ইনশাআল্লাহ।
pos,সাহেব ও প্রেসিডেন্ট জিয়াউর রমান সাহেব দুজন বেকতিকেই আমি সম্মান করি।
pos,ভাল তো গ্যাস বিক্রি করতে ছেয়ে ছিলেন।
pos,আল্ল‌াহ দেশ কে রক্ষ‌া করে‌ছেন
ntr,জিয়া হত্যার বিচার চাই.....!!!
pos, শহীদ জিয়াই বাংলাদেশের স্বাধীনতা অক্ষুণ্ণ রেখেছেন।
pos,আজকের এইদিনে শ্রদ্ধার সাথে স্মরণ করছি স্বাধীনতার ঘোষক শহীদ প্রেসিডেন্ট জিয়াউর রহমানকে।
pos,আসিতেছে উন্নতির জোয়ার
pos,জিয়া সৎ ও দেশপ্রেমী ছিলেন। 
pos,ঠিক বলেছেন
ntr,কালা চশমা ছাড়া মেজর জিয়া
neg,বিবিসি বাংলার দায়িত্ব যে কোন এক রাম ছাগলের বাচ্চা বসে আছে এটা হেডলাইন দেখেই বোজা যায়। 
neg,দালালি করেন কেন?আজকেও দালালি করেন।
pos,প্রেসিডেন্ট জিয়াউর রহমান যা কিছু ই করেছেন দেশের জনগণের মঙ্গল এর জন্যই করেছেন আর প্রধানমন্ত্রী শেখ হাসিনা যা করছেন মোদী র মঙ্গল এর জন্য করছেন।
neg,"বিবিসি বাংলা আপনারা হলুদ না , গু সাংবাদিকতা করেন।"
pos,আলহামদুলিল্লাহ্‌
pos,এটা জায়েজ আছে।
neg,মাদারবোর্ড হেডলাইন কি আর ভেতরে কি
pos,"সত্যি কথা বলতে কি, এক কথায় জিয়াউর রহমান ছিলেন সাচ্চা দেশপ্রেমিক। যার তুলনা শুধুমাত্র জিয়া নিজেই।"
pos,ধন্যবাদ
pos,ঠিক বলেছেন
pos,গুড
pos,আসল কথা এইটাই
pos,জয় হবেই
pos,সত্যি বলেই মনে হচ্ছে
neg,দেশ বিক্রি করার নেশা ছিলো জিয়ার
ntr,তখন উদৃত্ব গ্যাস ছিলো
pos,"""পাশাপাশি তিনি যে একটি সার্বভৌম দেশের প্রতিনিধিত্ব করছেন সফরে সেটা সব সময় খেয়াল রাখতেন, নিজের ও নিজ দেশের আত্মমর্যাদা নিয়েও ছিলেন অত্যন্ত সচেতন।"""
pos,"""পাশাপাশি তিনি যে একটি সার্বভৌম দেশের প্রতিনিধিত্ব করছেন সফরে সেটা সব সময় খেয়াল রাখতেন, নিজের ও নিজ দেশের আত্মমর্যাদা নিয়েও ছিলেন অত্যন্ত সচেতন।"""
pos,"জিয়াউর রহমান একটি নাম ,একটি ইতিহাস সত্যিকারের দেশ প্রেম এবং দেশের অর্তনীনির মুওি এনেছেন এ দেশে নতুন নতুন কলকারখানা চালু এবং সমমান রাজনিতি চালু করেছেন এ দেশে ,,,"
ntr,"আমরা বিবিসির প্রতিবেদনে টা সম্পূর্ন না পড়ে, নিজের মত করে গলাবাজি করে যাচ্ছি , ভালো মন্দ নিয়েই রাজনীতি, জিয়াউর রহমানের আগে কে চিলো এবং কেমন চিলো সেগুলো ও জানতে হবে আমাদের ইতিহাস থেকে একজন গালি দিব, অন্যজন কে মাথায় তুলবো এটা ঠিক নয়,"
neg,"বিএনপি ২০০৬ সাল অবধি জিয়া হত্যার বিচার চায়নি। কিভাবে চাইবে!! খুনি তো তার ঘরের লোক। যার সাথে ছিল আর্মির গভীর সম্পর্ক। তাই চাইবো বর্তমান সরকার ""একজন আদর্শ মুজিব সৈনিক জিয়া হত্যার বিচার করুক। মুজিব জিয়াকে ভালোবাসতেন। ‌সেই হিসেবে হলেও বর্তমান সরকারের উ… See more"
pos,জিয়া আছে বাংলার মানুষের মনে প্রানে
neg,যে পরিমাণে নিউজ শুরু করেছেন বিবিসি বাংলার ভবিষ্যত অন্ধকার দেখতে পাচ্ছি
ntr,"বাংলাদেশ স্বাধীন হয়েছিল যে অসাম্প্রদায়িকের আশা নিয়ে, যে একতা নিয়ে সে সব কিছু কে জিয়া বিভাজন করেন , জাতি হয়ে যায় বিভাজিত জাতি ।"
pos,যুগের তুলনায় স্বর্ণ যুগ বলা চলে
neg,ঘুরেফিরে পাক বাহীনির মতোই অবৈধ ক্ষমতা দখল। 
ntr,"আমেরিকার পাবলিক ইউনির্ভাসিটি সিস্টেমসের অধ্যাপক সাঈদ ইফতেখার আহমেদ বলেন, জিয়াউর রহমান ভারত-বিরোধী ভূমিকায় যাননি। তবে তিনি চীন, আমেরিকা এবং সৌদি আরবের সাথে সম্পর্ক গড়ে তোলেন।এ তিনটি দেশের সরকার বাংলাদেশের স্বাধীনতা যুদ্ধের বিরোধিতা করেছিল।"
pos, ভালো ব্যাক্তি 
pos,একজন দেশপ্রেমিক প্রেসিডেন্ট ছিলেন দুর্নীতির বিরুদ্ধে ও তিনি ঝুদ্ধ করেছেন তার মতো প্রেসিডেন্ট বাংলাদেশে আর জন্ম হবে না
neg,"জিয়ার ক্ষমতা আরোহনই সম্পূর্ণ অবৈধ ,,,তাই তার খারাপ কাজ ভালো কাজ নিয়ে আলোচনা সমালোচনার কিছুই নাই ।।"
ntr,"জিয়াউর রহমান বহু দলিয় রাজনৈতি করছিল বলে আজ আওয়ামী লীগ বেচে আছে, আর যদি শেখ মুজিবের মতো বাঘশাল করতো তাহলে বিএনপি ছাড়া আর কোন দলই থাকত না,"
pos,সব শেষ দুজনেই আমাদের সম্মানিত ব্যক্তি
pos,শোকর আলহামদুলিল্লাহ।।।
ntr,কেউ বিরানি খাওয়ার জন্য আর কউ কোদাল হাতে নিয়ে মানুষের সেবা করার জন্য জন্ম হয়।
pos,বিনম্র শ্রদ্ধার সাথে স্বরণ করছি জাতির এই মহা নায়ক কে।
pos,বিনম্র শ্রদ্ধা। বাংলার রাখাল রাজা ছিলেন জিয়াউর রহমান।
ntr, জিয়াউর রহমান কি এতোটাই নিকৃষ্ট ছিলেন যে তার স্ত্রী সন্তানেরাও তার হত্যার বিচার চায় না !
ntr,বাংলাদেশের মত দেশের জন্য বহুদলীয় গণতন্ত্র প্রযোজ্য নয় 
ntr,কোটি কোটি আন্দোলন কামী কর্মী থাকতে কাদের ঈশারায় দল আজকে আন্দোলন বিমূখ হয়ে আছে।
ntr,বি এন পি জিয়া হত্যার বি চার চায়না। লজ্জা শরম বলে তো কিছু আছে তাইনা?
pos,"নিঃসন্দেহে একজন ভালো নেতা ছিলেন,, মহান আল্লাহ তাঁকে জান্নাত দান করুন।"
pos,দেশের জন্য জিয়া মুজিব ভাষানী শেরেবাংলা সোহরাওয়ার্দী এদের অবদান অস্বীকার করার কোনো উপায় নেই। এরা বাংলার গর্ব। ভালোবাসি আপনাদের
pos,জিয়া আমাদের অনুপ্রেরণা
neg,বাংলাদেশের রাজনীতিতে বিষ বপনকারী
neg,বাংলাদেশের সবচেয়ে আদর্শ সৈনিক আদর্শবান নেতা। আজীবন মানুষের হৃদয়ে থাকবে। আল্লাহ্ আল্লাহর গোলাম হিসেবে কবুল করুন।
pos,এরা হাজার বছরের সেরা বাংগালী
pos,"রণাঙ্গনের যোদ্ধা, বীর উত্তম মেজর জিয়া।"
pos,জিয়ার মতো মহান নেতা বাংলাদেশে আর আসবে না। তিনি একজন সত্যিকারের জনতার নেতা হতে পেরেছিলেন।
pos,উনার মতো মানবিক নেতা বাংলাদেশ আর পাবেনা
neg,কোরআনের মাহফিল বন্ধ করার কোন যোগ্যতা নেই আমরা এর তীব্র নিন্দা এবং ধিক্কার জানাই
pos,জয় হলো জনগণের
neg,চুলকানি শুরু হয়েছে শয়তানদের।
pos,খুশি শুরু হয়েছে হয়েছে বিবিসির
pos,আরেকটা হামলা লুটপাট থেকে জনগন রেহাই পেল। ধন্যবাদ প্রশাসনকে।
pos,আপনারা খুশিতে কেক কাটেন
pos,সত্য কথা
ntr,বাংলার মুসলিমদের ধমিয়ে রাখা যাবে না।
pos,অনেক খুশি লাগছে।
neg,হিন্দুদের বাড়ি ঘরে হামলা করেছে আওয়ামী লীগের কুত্তারা।
pos,কি সুন্দর খবর! 
neg,আল্লাহ তাআলার গজব পড়বো
neg,বিবিসি ভারতীয় গোমূত্র পার্টির কেনা গোলাম এবং দালাল।
ntr,বঙ্গবন্ধুর দেশে সীমান্ত হত্যা সহ তিস্তা চুক্তি সমাধান করে তারপর ভারতের প্রধানমন্ত্রী নরেন্দ্র মোদী কে এই দেশে আসতে দেওয়া হবে তার আগে নয় 
ntr,মাফিয়া চক্রের হাতে বাংলাদেশের হিন্দু সম্প্রদায়ের উপর হামলার তীব্র প্রতিবাদ জানাই
neg,এদের জন্য বাংলাদেশের বদনাম হয়।
neg,বিবিসি হলুদ মিডিয়া যার প্রমাণ সিলেটের জাল্লায়
neg,বরাবরই এই সরকার ইসলামকে কোনঠাসা করতে চেষ্টা চালিয়ে যাচ্ছে।
ntr,ইজরাইল আর ফিলিস্তিনের মতো হচ্ছে
neg,মৌলবাদের কালো হাত ভেঙ্গে দাও গুড়িয়ে দাও
ntr,হিন্দুস্তান ভারতবর্ষে এরকম হয়লে তাও মানা যাইতো
ntr,মুসলমানদের দেশ বাংলাদেশ এই দেশে ইসলামের বিরুদ্ধে কাজ করছে একটা দল
pos,ঠিকই আছে। 
neg,বিবিছি হলুদ সাংবাদিকতা ছাড়। নাহলে বাংলাদেশ ছাড়।
pos,বাংলাদেশ আমার সোনার বাংলাদেশ 
pos,সারা বিশ্বের সব মানুষের সমর্থন আছে।
ntr,"মুনাফেকরা আগেও ছিলো,এখনও থাকবে। এরা নিজেকে মুসলমান দাবি করে কিন্তু এরা জানেই না যে তাদের নাম মুসলমান থেকে কেটে গেছে।"
neg,"কিসের ওয়াজ মাহফিল, ওয়াজ মাহফিলের নামে রাজনৈতিক ফায়দা লুটতে ব্যাস্ত পায়ুনুল নামের জঙ্গিরা।"
pos,মামুনুল হক এদেশের মানুষের কাছে জনপ্রিয় হয়ে উঠার পেছনে সরকার ভূমিকা পালনের জন্য অন্তত ধন্যবাদ পেতে পারে
pos,একদম ঠিক কাজ করেছে প্রশাসন।
neg,যুদ্ধ কে আরো তরান্বিত করতে এ পরিবর্তন আনতে চায় সসন্ত্রাসী ইসরাইলি
pos,"আল্লাহ্ চাইলে সবই সম্ভব,যদি আমার কথা আল্লাহ কবুল করে,"
pos,সুবহান আল্লাহ
neg,আললাহ আপনি গজব নাজিল করুন
neg,আরো খারাপ হতে পারে
pos,সেটাই চাই
ntr,যে লাউ সে কদু!!!
pos,আমিন
pos,ভেরি গুড
ntr,যেই লাউ সেই কদু।
pos,আলহামদুলিল্লাহ
pos,মূল্যবান সংবাদ
pos,দারুণ অফার
pos,বড় আশার খবর
pos,যেই ক্ষমতায় আসুক ভারত লাভবান হবেই
neg,দালালী টাইটেল।। দালালী মিডিয়া।।
pos,তাই যেন হয়।
neg,জালিমের উত্তস্বরি জালিমিই হবে
pos,ইজরায়েল জিন্দাবাদ
neg,"টাকলুরা ভালো হয় না, ইতিহাস তো তাই বলে"
pos,ভালো সিদ্ধান্ত
pos,জয় শ্রীরাম
pos,আলহামদুলিল্লাহ্‌
pos,যেটা আসবে ভালোই হবে
pos,সবকিছুর জন্য শুকরিয়া
pos,আলহামদুলিল্লাহ
neg,ইসলামের প্রধান শত্রু ইসরাইল
pos,গুড
pos,সমস্যা নেই
pos,ভারতের মতো যেই প্রধানমন্ত্রী হোক বাংলাদেশের জন্য কল্যাণকর
ntr,যা লাউ তা কদু
pos,ভালো
ntr,"যেই আসুক, ইহুদি তো ইহুদি ই!"
neg,আমাদের খুশি হবার কিছু নেই।
pos,হয়তবা ভালো
pos,খুশী হলাম।
pos,আলহামদুলিল্লাহ্
pos,"শেখ মুজিব এবং জিয়াউর রহমান দুজনেই আমাদের দেশের সম্মানি ব্যাক্তি,"
ntr,কিন্তুু আমাদের নোংরা রাজনীতির কারণে সম্মানিত ব্যক্তিরা অসম্মান হচ্ছে।
neg,এই জন্যই শামীম ওসমান বলেছিলেন সাংবাদিক সব খা ন কির পোলা।...
pos,পজেটিভ নিউজ
pos,বাংলাদেশের সব সরকারই ভারতের সাথে সুসম্পর্ক রেখে চলেছে 
pos,বিদ্যমান শিরোনাম এর চেয়ে আরও ভালো শিরোনাম 
ntr,আর আমিলিগ যে দেশটাই ভারতকে দিয়া দিছে ওই কথা কেডা কইবো
ntr,বিএনপি কেনো জিয়া হত্যার বিচার চায় না??এই বিষয়ে বিবিসির কাছে এক্টা প্রতিবেদন চাই
pos,এইতো আসল কথা। 
ntr,বাংলাদেশে সাংবাদিক হওয়া সবচেয়ে সহজ একটি ব্যাপার আর এদেশের ইতিহাস বইয়ে সংশোধন করে লিখা হয় কিন্তু রাজনৈতিক দলগুলোর নেতারা সংশোধন হতে পারেন না।
ntr,পাশেতো দেখছি কোচি বেগুন জিয়া ও আছে
neg,এই সব ফাউল কথা বিবিসি বাংলা পায় কোথায়!
pos,সামরিকভাবে শক্তিশালী দেশ হিসেবে গড়ে উঠবো একদিন আমরা
ntr,সেই মুচকুন্দ দুবে তো আরো ত্রিশ বছর আগে মারা গেছেন !!! 
pos,অসাধারণ রাষ্ট্র নায়ক ছিলেন
pos,লেখা পুরোটা পড়ে জিয়াউর রহমানের প্রতি সম্মান বেড়ে গেলো
ntr,মাঝে মাঝে মনে হয় বিবিসি এখন সময় টিভি নিয়ন্ত্রণ করে!
pos,আপনারা সত্যনিষ্ঠ খবর প্রচার করেন বলে ধন্যবাদ
pos,খবর হলে এমন ই হওয়া উচিৎ
